category,mean_center_distance,mean_dispersion,mean_entropy,mean_num_peaks,mean_peak_prob,model_entropy,model_center_distance,model_num_peaks,model_nss,model_cc,model_auc,delta_entropy,delta_center_distance,delta_num_peaks
Sketch,210.0334961765257,59832.09658996933,6.0235534,3.87,2.977533001285337e-05,12.50077623639788,217.1244237196761,8.228571428571428,2.775088235310146,0.6859123283524969,0.9185524668012348,6.477222836397879,7.0909275431504,4.358571428571428
LowResolution,221.3001170261961,72591.12037420235,5.9083595,3.21,2.9229490628495118e-05,13.034409822736468,263.31752462106994,8.685714285714285,1.9938742671694076,0.5365010893738278,0.8831132769584655,7.126050322736467,42.017407594873845,5.475714285714285
Pattern,235.91008140436645,80870.39511353841,6.009696,3.48,2.715304847697553e-05,13.069558497837612,266.3998816813557,14.285714285714286,1.8502943175179616,0.5362408488346997,0.8693539568356106,7.059862497837612,30.48980027698923,10.805714285714286
BlackWhite,249.29702386571427,84980.9672852443,6.0591187,3.6,2.724187854255433e-05,12.736578641619,259.58409298709404,7.6571428571428575,2.332689356803894,0.6605876123766398,0.8838924356869289,6.6774599416189995,10.287069121379773,4.057142857142857
Object,255.15492279745868,89920.33567626281,6.0820403,4.17,2.441256825477467e-05,12.777622713361469,246.5456589261865,9.257142857142858,2.2159570421491352,0.6427317272881045,0.8843483209609986,6.6955824133614685,-8.60926387127219,5.087142857142858
Fractal,255.58608288949003,96973.55720132492,6.0388074,3.0,2.5351997483085145e-05,13.255371229989189,260.26011378022,8.914285714285715,2.100931303841727,0.6294506297504481,0.8677049807139805,7.216563829989189,4.674030890729995,5.914285714285715
Random,258.3576491498015,83828.39642831593,6.058243,3.8,2.5128082179435292e-05,12.68519423348563,268.0125246991019,9.257142857142858,2.013411091055189,0.5731334368046431,0.881029064314706,6.62695123348563,9.654875549300414,5.457142857142858
Noisy,258.3795490257841,97895.02553286224,5.96943,3.84,2.6158139371545984e-05,13.120646830967496,255.7213785894255,9.371428571428572,1.9258715050561088,0.5869155734779408,0.8686007022857666,7.151216830967496,-2.6581704363586027,5.531428571428572
Affective,271.2747918500214,97960.8891274882,6.1507816,3.75,2.67161980173114e-05,12.695979499816897,242.0729641405364,7.428571428571429,2.2147921766553607,0.6264829679879399,0.8792826039450509,6.5451978998168965,-29.201827709485002,3.678571428571429
OutdoorNatural,272.044301312228,103661.74926976794,6.0433393,3.39,2.4918648250604747e-05,13.111224801199777,274.2384392333471,11.428571428571429,1.8130764143807547,0.5973145610647187,0.8596176964896066,7.067885501199776,2.1941379211190792,8.038571428571428
LineDrawing,272.2280329875423,103055.31177905288,6.087307,3.38,2.4078523929347283e-05,13.147511454990932,276.0886740683723,9.371428571428572,1.7966346757752554,0.6003005464486171,0.8583956701414925,7.060204454990932,3.860641080830021,5.991428571428572
Action,273.1678850194812,101552.14984496783,6.113481,3.64,2.657238334904832e-05,12.518344497680664,231.1901389084011,7.2,2.274668104307992,0.6228456253462453,0.8860498803002493,6.4048634976806635,-41.97774611108011,3.56
Art,277.96270928399804,105552.76026528388,6.1025915,4.28,2.3381093988064092e-05,13.11417168208531,261.0870308372576,10.857142857142858,1.8309973512377056,0.6087391738030542,0.8523118955748422,7.01158018208531,-16.875678446740437,6.577142857142857
Inverted,282.19242853179776,109713.497231455,6.1206913,3.79,2.2920706796867308e-05,12.995274325779508,264.9829462907734,9.82857142857143,1.8817296283585685,0.596660022289592,0.8577266437666756,6.874583025779509,-17.209482241024375,6.038571428571429
OutdoorManMade,289.1195587324726,115474.7367419123,6.1164093,3.77,2.3491524507335272e-05,13.028618839808871,260.5505423805808,9.028571428571428,1.9031634143420628,0.6235322280326532,0.8629247648375374,6.912209539808871,-28.569016351891833,5.258571428571429
Indoor,298.40022938444474,122587.9663175877,6.12997,4.08,2.103155911754584e-05,13.092999540056502,269.9927858410801,10.628571428571428,1.712334292275565,0.5987658990200064,0.8472833463123867,6.963029540056501,-28.40744354336465,6.548571428571428
Jumbled,304.1638171515253,125374.15756649636,6.15206,4.08,1.8351759517827304e-05,13.14174017224993,277.90724782838055,9.371428571428572,1.369393379347665,0.527913769867704,0.833264172077179,6.989680172249931,-26.25656932314473,5.291428571428572
Satelite,306.0565384903772,135160.94650106723,6.072556,3.37,2.267509627017717e-05,13.268413243974958,281.2902946817231,11.428571428571429,1.4558188336236135,0.519758743286305,0.8199205449649266,7.195857243974959,-24.76624380865411,8.05857142857143
Social,308.32565238901054,121167.08082503798,6.2007604,4.01,2.290840755449608e-05,12.702013615199498,266.5957313215406,8.342857142857143,2.0209017038345336,0.6226978041340445,0.8710616741861615,6.5012532151994975,-41.729921067469945,4.332857142857144
Cartoon,316.0692690945584,134139.51456062327,6.1421633,4.36,2.22716126791056e-05,12.999652780805317,275.90008583033926,10.514285714285714,1.8097134300640647,0.5958121010163504,0.8513298937252589,6.857489480805317,-40.16918326421916,6.154285714285714
